region 410 size= 33 color=java.awt.Color[r=95,g=140,b=78]
region 411 size= 33 color=java.awt.Color[r=37,g=60,b=36]
region 412 size= 33 color=java.awt.Color[r=42,g=27,b=47]
region 413 size= 33 color=java.awt.Color[r=90,g=143,b=83]
region 414 size= 33 color=java.awt.Color[r=80,g=128,b=70]
region 415 size= 33 color=java.awt.Color[r=21,g=31,b=20]
region 416 size= 33 color=java.awt.Color[r=111,g=171,b=110]
region 417 size= 33 color=java.awt.Color[r=34,g=61,b=32]
region 418 size= 33 color=java.awt.Color[r=21,g=25,b=24]
region 419 size= 33 color=java.awt.Color[r=147,g=147,b=163]
region 420 size= 33 color=java.awt.Color[r=50,g=82,b=45]
region 421 size= 32 color=java.awt.Color[r=72,g=69,b=82]
region 422 size= 32 color=java.awt.Color[r=26,g=48,b=25]
region 423 size= 32 color=java.awt.Color[r=64,g=107,b=57]
region 424 size= 32 color=java.awt.Color[r=28,g=51,b=27]
region 425 size= 32 color=java.awt.Color[r=90,g=138,b=97]
region 426 size= 31 color=java.awt.Color[r=71,g=104,b=59]
region 427 size= 31 color=java.awt.Color[r=159,g=139,b=170]
region 428 size= 31 color=java.awt.Color[r=102,g=144,b=83]
region 429 size= 31 color=java.awt.Color[r=73,g=102,b=70]
region 430 size= 31 color=java.awt.Color[r=247,g=253,b=248]
region 431 size= 31 color=java.awt.Color[r=30,g=42,b=33]
region 432 size= 31 color=java.awt.Color[r=42,g=66,b=37]
region 433 size= 31 color=java.awt.Color[r=50,g=56,b=51]
region 434 size= 31 color=java.awt.Color[r=29,g=49,b=27]
region 435 size= 31 color=java.awt.Color[r=154,g=156,b=176]
region 436 size= 31 color=java.awt.Color[r=26,g=41,b=34]
region 437 size= 31 color=java.awt.Color[r=34,g=40,b=59]
